Zone,Districts,Altitude (m),Annual rainfall (mm),Crops grown,Recommended Crops,Vegitables,Floriculture
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.","Rice, Groundnut, Sugarcane, Mango, Banana","brinjal, tomato, green chili, and okra ","jasmine, marigold, and rose"
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Kanchipuram,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
North Eastern,Chengalpet,100-200,1105,"Rice, Pearl Millet, Sorghum, Gingelly, Finger Millet, Groundnut, Red Gram, Sugarcane, Cashew, Mango, Guards, Green Chillies, Brinjal, Tapioca, Yam, Banana, Jack, Guava, Watermelon, Turmeric, Tube rose, Crossandra and Lemongrass.",,,
